,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2014/8,,2014/11,,2015/02,,2015/05,,2015/08,,2015/11,,2016/5,,2016/8,,,Basic,Technologist,,Developer,,Sales,,,Consultant,,,Architect,,,Project Manager,,,Target,,
No,カテゴリ,,,,,目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,Level,Basic,Basiｃ,Senior,Basiｃ,Senior,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Principal,,チェック用リスト
,,,Word,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Basic,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
,,,メールソフト,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Basic,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
,,英語力,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,簡単な会話を行うことができる,,,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,Basic,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
,,,技術書を読むことができる,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Basic,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
,,,プレゼンテーションを行うことができる,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Intermediate,,,,,,,,,,,○,,,○,,,,,,
,,,ビジネスの折衝を行うことができる,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Advanced,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,コンサルティングを行うことができる,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Advanced,,,,,,,,,,,,,,,,,,,,
,,俯瞰力,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,物事を3段階に分類して体系化することができる,,,4,2,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,Basic,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,
